Sample,A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log)
P27614,25.4449,25.4288,25.4434,25.5197,25.6649,25.67
O13547,26.1293,26.0683,26.1188,26.323,26.2922,26.2385
P40150,26.0961,25.9909,26.0682,26.1418,26.2884,26.2605
P0CX37;P0CX38,27.7185,27.7727,27.5973,27.5324,28.0706,27.8157
P40531,25.9106,25.8467,25.8451,25.9056,26.0429,25.9861
Q00955,26.6791,26.5997,26.706,26.8115,26.824,26.8819
Q07799,23.8289,24.0564,24.0369,23.9567,24.1967,24.103
P06738,26.5123,26.4875,26.4852,26.5818,26.7524,26.6814
P22353,22.8497,22.8111,22.6603,22.8048,22.9049,22.9464
P26784,25.4343,25.0919,25.2835,25.3686,25.5095,25.4619
P32614,24.6676,24.5556,24.632,24.628,24.8108,24.9464
P33322,23.8621,24.0738,24.064,24.2195,24.0544,24.2557
A7A1W1;B3RHV0;B5VNY0;C7GSL4;P33442,24.6521,24.7136,24.5863,24.7851,24.8027,24.8928
Q08412,21.4455,22.0651,22.1084,21.829,22.0827,22.235
P26309,23.9132,23.8871,24.0461,24.0683,24.032,24.0842
P32327;P11154,25.7389,25.8081,25.7709,25.8816,26.0203,25.9431
P43545;P53824;Q03148,20.6841,20.8608,21.1025,22.0116,20.7582,20.4045
P05739,24.8273,24.696,24.2693,24.3126,24.9177,24.9018
Q12460,24.0778,24.1269,24.0628,24.2981,24.264,24.231
P37292,25.8794,25.8694,25.914,26.004,26.0868,26.0954
A6ZXM9;B3LGZ3;Q12154,23.3909,23.5216,23.3522,23.624,23.4589,23.5242
P12695,24.8616,24.8865,24.8384,25.0388,25.0607,25.0099
P38116,21.7948,21.7962,21.8884,22.0116,21.9763,22.0142
Q03104,23.3155,22.7256,22.965,23.1319,22.9756,23.4207
P02407;P14127,27.7772,27.8404,27.588,27.7846,27.8625,27.9032
P11484,27.622,27.5965,27.4788,27.6885,27.7582,27.7707
P35691,28.7266,28.733,28.7664,28.8427,28.8523,28.8767
P0CX53;P0CX54,27.8192,27.9335,27.889,27.954,28.1283,28.0784
P38137,25.6231,25.5455,25.5486,25.6895,25.7128,25.8327
Q2V2P9,21.435,21.7631,21.7012,21.3867,21.9588,21.9018
P14843,25.675,25.5813,25.7194,25.7747,25.8075,25.9099
P05030;P19657,27.4434,27.4184,27.5046,27.4835,27.6505,27.7478
P0CX25;P0CX26,25.175,25.3208,25.3309,25.4146,25.34,25.4254
P10664;P49626,29.4849,29.5301,29.4632,29.5729,29.6254,29.6337
P46655,27.5601,27.6453,27.5635,27.6628,27.7938,27.8222
Q06142,22.3567,22.4065,22.5205,22.5469,22.6805,22.5662
P25443,27.9494,28.0919,27.9992,28.1758,28.1576,28.0635
P53981,24.2415,24.3903,24.2654,24.5631,24.3575,24.4846
P17891,23.3006,23.1505,23.1927,23.2826,23.2447,23.4742
P15992,27.3776,27.3277,27.3046,27.4121,27.5533,27.5521
P16861,28.4167,28.408,28.4366,28.4235,28.5836,28.6121
P15625,26.388,26.2182,26.2552,26.3371,26.3962,26.4861
P33327,25.4629,25.4307,25.3613,25.5123,25.5916,25.6583
A6ZT99;P38879,26.1951,26.3012,26.1988,26.2902,26.3847,26.3783
P46992,23.4837,23.4589,23.4232,23.6904,23.6441,23.3899
P25619,22.6313,22.8429,22.7589,22.7005,22.9063,22.9859
P14904,25.7929,25.8612,25.9027,25.9919,26.0425,25.8839
P17423,25.0585,25.0017,24.8048,25.1263,25.1075,25.1347
P38328,24.6897,24.6333,24.4955,24.7644,24.7552,24.8024
P40495,24.7658,24.7515,24.5803,24.5637,24.905,24.9908
P06169,32.5482,32.6308,32.6278,32.6987,32.8307,32.7799
P17967,26.6889,26.4615,26.6371,26.646,26.7157,26.7891
P0CX82;P0CX83,27.3996,27.4346,27.3147,27.4688,27.5947,27.5867
P38773;P38774,22.1409,21.8492,21.7201,22.011,21.7979,22.2663
P07342,25.7232,25.6977,25.5409,25.7973,25.8357,25.6974
P38720,29.8503,29.8531,29.8547,30.0145,30.0093,30.0291
Q04869,24.8752,24.832,24.7347,24.7942,25.093,25.0484
P32377,27.4724,27.5705,27.4714,27.6517,27.6913,27.6642
Q04947,25.4927,25.4642,25.4883,25.5815,25.6717,25.5656
P38707,27.0865,27.064,27.1193,27.1485,27.2458,27.2491
P21954,27.2318,27.1183,27.2095,27.303,27.408,27.3403
P38968,24.4094,24.393,24.1959,24.6122,24.3331,24.5438
P05694,29.3109,29.2909,29.3161,29.4314,29.5064,29.4691
P19073,21.5783,21.3318,21.2822,21.5258,21.489,21.6662
P16140,27.9789,27.9287,27.8984,28.0583,28.1063,28.1268
P21965,23.6414,23.8826,23.9936,24.0988,23.8727,23.9262
P07806,27.6325,27.598,27.6174,27.7027,27.8582,27.7721
P33416,26.2018,26.1556,26.1527,26.2087,26.321,26.3606
P53141,25.8495,25.9786,25.5974,25.8225,26.0652,26.0225
P38260,22.5228,22.4443,22.5039,22.0116,22.9849,22.8552
C7GQJ1;A6ZL22;B5VE42;P38248,25.1327,25.1253,25.1005,25.2103,25.2642,25.2658
P25605,23.3744,23.5884,23.3828,23.3471,23.6869,23.6936
P53090,27.6676,27.7297,27.7131,27.8389,27.8852,27.8696
P52893,22.668,22.6848,22.66,22.7853,22.6907,23.0199
Q12109,22.9749,23.2361,23.1368,23.2954,23.2283,23.2069
P38910,26.2345,26.1567,26.1215,26.243,26.3473,26.4042
P09938,27.2369,27.3136,27.2106,27.4477,27.3721,27.4193
Q12449,24.1097,24.1014,24.2666,24.3179,24.3287,24.3085
P29509,28.1048,28.0322,27.912,28.1969,28.1877,28.1414
P31373,28.2741,28.2124,28.3105,28.3789,28.4345,28.4599
P16862,27.6253,27.6693,27.6773,27.8129,27.7655,27.7831
P28707,26.022,26.0508,25.9707,26.0364,26.2528,26.2296
P36010,26.9707,26.9499,26.9903,27.0439,27.1437,27.1141
P49723,27.8359,27.8335,27.8308,27.9072,28.0001,28.0661
P0C2H6;P0C2H7,27.6543,27.507,27.4718,27.5322,27.7607,27.7346
Q3E7Z5,20.89,20.7792,21.6424,21.2332,21.4041,21.072
P32565,24.672,24.6511,24.5871,24.6736,24.821,24.883
P03962,25.8779,25.7623,25.8423,25.8873,26.0081,25.9857
P02400,27.7095,27.7221,27.6508,27.718,27.9617,27.8016
P38754;P36105,27.453,27.4248,27.4652,27.5344,27.6553,27.6176
P49167,25.3233,25.3057,25.2426,25.4598,25.3992,25.4143
P18544,21.8486,21.6281,22.1283,22.1305,22.0663,21.8122
Q05506,25.7651,25.9183,25.8723,25.9446,26.0409,26.0313
P14747,21.9921,22.105,21.7971,22.0997,22.0231,22.1778
Q12213;P05737,28.7495,28.7197,28.7762,28.8611,28.9167,28.9251
P38701,27.3413,27.3454,27.4386,27.4593,27.5185,27.5574
P08067,23.0003,22.885,23.0274,23.0868,23.0415,23.1945
P32316,27.0809,27.1263,27.1443,27.1336,27.315,27.3143
P12709,30.3064,30.3206,30.3984,30.4385,30.4904,30.5084
P41805,27.4854,27.5857,27.5965,27.6821,27.6366,27.802
P39676,29.004,29.0013,29.0315,29.0895,29.1512,29.2083
P07246,24.5256,24.5351,24.5125,24.5611,24.6985,24.7664
P41940,28.4312,28.4119,28.4615,28.5271,28.5465,28.644
P47143,26.5989,26.6005,26.7453,26.6466,26.7619,26.9497
Q06449,21.8192,21.8801,21.7246,22.0116,21.9614,21.8656
P40302,23.3613,23.3677,23.1571,23.3408,23.5571,23.4383
P38788,28.1303,28.1509,28.1324,28.224,28.3544,28.2852
P32861,25.4032,25.4483,25.3327,25.4764,25.5461,25.5772
P16474,27.23,27.1338,27.2148,27.2103,27.3966,27.3876
P04840,29.0191,28.9774,29.045,29.1097,29.1495,29.1995
P41911,22.2593,22.02,22.4251,22.4974,22.4114,22.2433
P32836;P32835,27.2461,27.2713,27.176,27.3461,27.3722,27.422
P0CX47;P0CX48,27.0542,27.0067,27.0942,27.2103,27.1803,27.1835
P26783,27.8528,27.8745,27.9459,28.0269,28.0334,28.0581
P22133,26.3691,26.4264,26.3508,26.4382,26.5641,26.5652
P06101,24.7898,24.6926,24.7821,24.8046,24.9544,24.93
P17076,21.8566,22.0413,22.3514,21.811,22.9156,21.9482
P22768,25.8431,25.9236,25.8547,25.8875,26.1029,26.0706
Q12363,27.1395,27.3764,27.4066,27.1857,27.6693,27.494
P06106,27.5508,27.5353,27.5159,27.6182,27.7349,27.6873
P37291,26.9082,26.8987,26.9577,27.035,27.1428,27.0153
P04076,25.4291,25.3621,25.4328,25.5978,25.4373,25.6185
P40513,24.857,24.6995,24.8394,24.79,24.9739,25.0677
P05738;P51401,26.5938,26.566,26.568,26.687,26.7783,26.693
P53184,27.7115,27.8123,27.7122,27.8605,27.9672,27.8388
A6ZQJ1;P10081,29.1284,29.1457,29.1159,29.2217,29.2878,29.3111
P05744,25.3764,25.3939,25.2522,25.3529,25.5717,25.5316
P04456,27.5403,27.6025,27.4975,27.5912,27.721,27.7597
