Sample,A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log)
P25293,24.304,24.2919,24.3158,24.4591,24.1768,24.3735
P39683,21.8235,21.8907,21.4387,21.941,21.7005,21.6091
P38431,25.4541,25.4315,25.4811,25.6378,25.7474,25.7465
P20606,25.7007,25.719,25.7902,25.9129,26.0542,26.0058
P53909,22.7353,22.5379,22.8231,22.0116,23.1919,22.9953
P53315,23.0204,23.1546,22.9124,23.1876,23.3047,23.3573
P45978,22.2098,22.3136,22.1331,22.0116,22.3757,22.374
P08524,27.9778,27.9764,27.9679,28.2427,28.2267,28.2122
P00899,25.0377,25.0798,24.9861,25.0149,25.0566,25.1381
Q05933,23.3876,22.8808,23.3001,23.4838,23.4812,23.3601
P37299,21.8175,22.3438,21.9128,22.0116,21.964,22.2075
P41818,23.2019,23.1979,23.1731,22.0116,23.7613,23.911
Q12447,25.9513,25.8561,25.8642,25.7945,26.0228,25.9685
P32471,28.3479,28.3474,28.3299,28.5007,28.6129,28.6624
P10622,25.4607,25.38,25.421,25.3912,25.522,25.4649
P15454,26.4692,26.5187,26.4388,26.5144,26.5863,26.4439
P0CX49;P0CX50,27.9252,27.993,27.8401,27.9188,27.9693,27.9901
P06780,24.5127,24.4918,24.6433,24.8837,24.6507,24.8584
Q12164,21.9196,21.9211,21.9626,22.0116,21.964,21.9482
Q07551,25.9468,25.8418,25.8956,26.0697,26.1673,26.1919
P15873,25.6324,25.5138,25.5382,25.8073,25.8437,25.7757
P00410,21.8033,21.9831,22.6413,22.01,22.0425,22.4987
A6ZZH2;P36060,21.633,21.5947,21.6835,22.0116,21.7797,21.8595
P06208,26.2902,26.2279,26.1903,26.3638,26.5693,26.5128
P29952,25.6211,25.585,25.6028,25.6353,25.6613,25.6419
P06787,25.8021,25.6712,25.7692,25.966,25.9382,26.0708
Q03835;P32642,21.2041,21.3597,21.6451,21.5585,21.6473,21.7356
P50095,24.1399,24.386,23.9281,24.3072,24.5744,24.3044
P53912,26.8775,26.8373,26.8174,26.7996,26.9899,26.8764
P38934,26.154,26.1404,26.2297,26.1807,26.2574,26.2199
P15703,26.871,26.7646,26.694,26.9052,27.1107,27.0447
P25294,25.7643,25.7364,25.706,25.9086,25.9582,26.0699
Q3E754,25.0751,25.0853,25.0454,25.3196,25.2227,25.3918
P00950,31.3884,31.3632,31.3334,31.4964,31.6457,31.6667
Q9ZZX7,22.3132,22.3289,22.23,22.5746,22.5312,22.4896
P07256,26.0987,25.854,26.04,26.1593,25.9253,26.0503
P38013,30.2109,30.4002,30.3129,30.518,30.5407,30.5872
P23180,24.3135,24.2282,24.2824,24.3279,24.3194,24.3216
P40054,26.3059,26.2762,26.2378,26.3871,26.2512,26.3293
P43588,23.1637,23.0089,22.9893,23.1484,23.469,23.2603
P40482,23.216,23.2157,22.7551,23.2227,23.3588,23.3209
P38206,21.2448,21.4807,21.7834,22.0116,21.2724,21.3767
P57744,21.2164,21.873,21.8954,21.786,21.964,21.9482
P40525;P87262,26.1238,26.2227,26.2577,26.2204,26.2703,26.2656
P22515,27.0845,26.9964,27.0732,27.1908,27.389,27.2859
Q07648,21.0447,21.4631,21.2276,22.0116,20.8651,21.0128
P0CX31;P0CX32,26.5031,26.5431,26.7307,26.5378,26.7301,26.6674
P25694,27.3263,27.2727,27.2106,27.3853,27.5479,27.5828
P10869,23.7833,23.5211,23.7115,23.5078,23.8154,23.8523
P53303,24.9583,24.917,24.8737,25.2638,25.1412,25.0477
P38221,25.3942,25.3441,24.9891,25.358,25.5201,25.5486
P34221,22.0893,21.9204,21.7337,22.0116,22.2944,22.135
P31539,28.6842,28.5815,28.6778,28.8546,28.9025,28.884
P32473,24.6912,24.8198,24.9774,24.9607,24.986,25.2365
P14540,31.2693,31.2146,31.2973,31.2521,31.3455,31.3565
P10659,23.6043,23.6357,23.7588,23.8281,23.8925,23.9705
Q03161,26.0979,26.0052,26.0202,26.1615,26.3737,26.2773
Q12165,24.3866,24.3736,24.4568,24.6089,24.6016,24.6949
Q03921,24.3992,24.3459,24.4151,24.5563,24.5124,24.7799
P25349,22.721,22.7713,22.948,22.0116,23.6015,23.5152
P05626,23.7966,23.8642,23.5167,23.9824,23.8795,24.0031
P38219,28.1825,28.102,28.0636,28.1201,28.1711,28.2349
P06168,28.6788,28.6078,28.6463,28.852,28.856,28.9108
P38689,21.8488,21.6784,22.665,22.1241,22.0644,22.1832
P38427,22.4926,22.2534,21.8201,22.1078,22.4636,22.1743
P07257,28.1033,28.1007,28.1195,28.2996,28.3494,28.3588
P07149,29.4611,29.4507,29.4554,29.6591,29.7001,29.6919
P22141,22.9698,23.1158,22.9964,23.3104,23.1436,23.3117
P80235,21.6475,21.7116,21.6712,21.8617,21.5459,21.8062
P07284,27.5125,27.3598,27.5764,27.6767,27.7683,27.6849
P10592,28.3577,28.3602,28.2824,28.4913,28.5813,28.6084
Q12074,25.8216,25.7285,25.7336,25.9927,25.9728,25.9985
P32463,23.4389,23.3914,23.3247,23.4476,23.4253,23.468
Q01519,24.1231,24.2793,24.3157,24.005,24.4546,24.4451
P39015,27.7972,27.8443,27.7539,28.0082,28.0471,28.0177
P54839,28.29,28.252,28.2729,28.4201,28.5574,28.5122
P32454,26.4896,26.4568,26.4368,26.6592,26.6759,26.7216
P23542,26.2725,26.3736,26.3788,26.3735,26.4363,26.4087
P00549,32.6431,32.7033,32.6698,32.6588,32.7682,32.783
P40582,23.3994,23.2054,23.2554,23.4712,23.5539,23.5041
P0CS91;P0CS90,29.3886,29.3567,29.3916,29.3508,29.4958,29.4874
P40087,22.0754,21.8743,22.1519,22.1933,22.2171,21.8896
P43590,23.7056,23.9147,23.8378,23.9855,24.0842,24.0542
P39111,22.6962,22.8117,22.9077,22.9177,23.1113,23.0522
P32449,26.3583,26.3979,26.3434,26.4858,26.6451,26.6339
P31688,23.407,23.2568,23.4042,23.5975,23.4716,23.6636
Q02326,25.5171,25.4257,25.7805,25.4443,25.7763,25.7037
P00925,31.0181,30.9964,31.003,30.9283,31.1236,31.1688
P47176,26.757,26.6905,26.6561,26.8269,26.9475,26.9912
P00958,24.6396,24.6497,24.7148,24.8071,24.6711,24.7312
P16120,27.6606,27.6847,27.597,27.8729,27.8701,27.8587
P53870,24.5761,24.6153,24.5931,24.619,24.6143,24.7572
A6ZN26;P32497,25.9591,25.9418,25.8452,26.0254,26.1261,26.2535
Q12265,22.085,21.9282,21.8441,22.354,22.168,21.9926
P14742,25.9247,25.9573,25.9529,26.0717,26.2144,26.2048
P43616,27.1785,27.2205,27.1939,27.3846,27.4377,27.4257
Q12305,26.5875,26.5717,26.5612,26.4607,26.7427,26.7291
P38840,25.0037,25.0747,25.1504,25.1917,25.1619,25.0874
P41277,26.5741,26.4757,26.599,26.498,26.9229,26.8798
P54113,25.1805,25.1933,25.0979,25.1033,25.1972,25.385
A6ZM02;B3LLJ2;B5VP69;C7GVZ9;P23248,24.8188,24.9485,24.8443,25.0254,24.9644,24.8358
P41807,23.9469,24.114,24.1266,24.075,24.359,24.4039
P00830,28.7494,28.6823,28.6274,28.8399,28.9275,28.9394
P33331,26.7238,26.6895,26.6425,26.7925,26.9636,26.9469
P15108,28.3915,28.3886,28.4543,28.3672,28.5468,28.5391
P07259,30.1935,30.2036,30.2099,30.3863,30.4413,30.4258
P32599,26.5044,26.436,26.3957,26.6682,26.6457,26.6684
Q12377,22.3583,22.0789,22.2881,22.0116,22.3126,22.6207
P89886,23.4112,23.0978,23.2567,23.5564,23.4571,23.3975
P0CX08;P0CX09,25.8272,25.8113,25.7871,25.8309,25.9299,25.8873
P49954,22.7477,22.2233,22.3536,22.74,22.5783,22.6487
P14832,28.1471,28.1543,28.2249,28.2466,28.2434,28.2593
Q03102,24.3324,24.4148,24.409,24.4292,24.5922,24.3593
P38765,22.1914,22.1548,21.841,22.3192,22.3083,22.1986
P52910,27.4313,27.5029,27.4934,27.474,27.5946,27.5867
P38998,24.0992,23.9742,24.0187,24.0383,24.1541,24.1287
P40212;Q12690,28.3641,28.3192,28.377,28.3858,28.4666,28.4378
P30822,22.4312,22.4018,22.597,22.6023,22.488,22.5699
P25386,21.3359,21.5695,21.8,21.9015,21.964,21.4745
P31383,23.9061,23.9357,23.7942,24.0311,24.0923,24.1465
