protein,kidneyTisue1,kidneyTisue2,kidneyTisue3,kidneyTisue4,kidneyTisue5,kidneyTisue6,kidneyTisue11,kidneyTisue12,kidneyTisue13,kidneyTisue14,kidneyTisue15,kidneyTisue16,kidneyTisue19,kidneyTisue20,kidneyTisue21,kidneyTisue22,kidneyTisue23,kidneyTisue24,kidneyTisue29,kidneyTisue30,kidneyTisue31,kidneyTisue32,kidneyTisue33,kidneyTisue34
Q08495,0.995200608,0.630514874,0.928783153,0.630514874,0.630514874,1.120129404,0.630514874,0.630514874,0.630514874,0.630514874,0.630514874,0.630514874,0.630514874,0.630514874,1.032060587,0.630514874,1.085074841,1.19073084,0.630514874,1.167388523,0.960880911,0.630514874,0.630514874,0.630514874
P24752,0.865865379,0.522520214,0.801933518,0.558242735,1.179059682,0.587783245,1.120129404,0.746709502,0.944832032,0.644033685,0.944832032,0.486017939,0.944832032,0.455244722,0.829856613,0.342473616,1.179059682,0.616996063,1.058567714,0.715777566,1.058567714,0.678762599,0.944832032,0.39936486
Q96AG4,0.522520214,1.032060587,0.829856613,1.19073084,0.616996063,0.715777566,0.455244722,0.995200608,0.960880911,0.370919238,0.370919238,1.120129404,0.558242735,0.928783153,0.801933518,1.167388523,0.486017939,0.678762599,0.644033685,0.89426352,0.746709502,0.865865379,0.587783245,1.085074841
O60469,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151
Q9NVD7,0.746709502,1.032060587,0.455244722,0.644033685,0.865865379,0.928783153,0.342473616,0.89426352,0.486017939,1.120129404,0.39936486,0.616996063,0.801933518,1.19073084,0.522520214,0.829856613,0.678762599,1.085074841,0.587783245,0.995200608,0.715777566,1.167388523,0.558242735,0.960880911
P62847,0.697270083,0.697270083,0.697270083,1.167388523,0.697270083,0.697270083,0.697270083,1.085074841,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.120129404,0.697270083,1.19073084,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083
P16083,0.928783153,0.644033685,0.715777566,0.427304791,0.995200608,0.522520214,1.167388523,0.616996063,0.960880911,0.587783245,0.865865379,0.427304791,1.102602122,0.829856613,0.801933518,0.427304791,1.032060587,0.558242735,1.19073084,0.746709502,1.102602122,0.678762599,0.89426352,0.427304791
Q8NFV4,0.486017939,0.486017939,1.032060587,1.167388523,1.120129404,0.678762599,0.960880911,0.486017939,0.801933518,0.486017939,1.085074841,0.644033685,0.616996063,0.865865379,0.928783153,0.829856613,0.89426352,0.486017939,0.995200608,0.486017939,0.746709502,0.486017939,1.19073084,0.715777566
P43897,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,1.19073084,0.746709502
Q9Y3C8,0.522520214,0.616996063,0.715777566,1.19073084,0.342473616,1.120129404,0.455244722,0.960880911,0.644033685,0.865865379,0.678762599,0.928783153,0.39936486,0.486017939,0.558242735,1.167388523,0.587783245,1.085074841,0.829856613,1.032060587,0.746709502,0.89426352,0.801933518,0.995200608
P02649,1.19073084,0.960880911,1.120129404,0.587783245,0.829856613,0.39936486,0.715777566,0.342473616,0.678762599,0.486017939,0.928783153,0.865865379,1.167388523,0.89426352,1.085074841,0.616996063,0.995200608,0.558242735,0.746709502,0.455244722,0.801933518,0.522520214,1.032060587,0.644033685
P56199,1.167388523,0.57301299,0.829856613,0.57301299,0.960880911,0.57301299,0.865865379,0.57301299,0.928783153,0.57301299,0.801933518,1.032060587,1.19073084,0.57301299,1.120129404,0.57301299,0.57301299,0.57301299,1.085074841,0.57301299,0.995200608,0.57301299,0.89426352,0.57301299
Q8WWC4,1.085074841,0.960880911,1.120129404,0.644033685,1.19073084,0.644033685,0.644033685,0.995200608,0.644033685,0.644033685,0.644033685,0.644033685,1.167388523,0.644033685,0.644033685,1.032060587,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685
