Celline, MCF7, T47D, ZR751, AU565, BT474, SkBr3, BT20, HCC1143, HCC1806, HCC1937, HCC70, MB468, BT549, HCC1395, Hs578t, MB157, MB231, MB436
Q6UXY8,0.298179331,-0.588027986,0.043976895,0.563614871,0.635271166,-0.043976895,1.044760511,0.234110424,-0.260185945,0.693125604,2.925470196,0.244741225,-0.103023489,-0.300309693,-0.787808824,-0.346173595,-0.305041399,-0.5649687
Q56A73,0.026320148,0.472164511,-0.669464513,-0.471605545,0.207731703,-0.107447827,-0.042139609,1.884914364,0.374611479,1.122584575,1.597850099,2.695450943,-0.026320148,-0.713931475,-0.520477156,0.16426174,-0.381078929,-0.301604484
P58335-4,-0.039977846,-0.351622591,-0.05394094,-0.232944,-0.197662827,-0.275520393,-0.257645028,0.170979453,0.039977846,-0.343893438,0.213198798,-0.133773098,1.510803715,0.594647083,1.045194334,0.585905462,1.638726222,0.271866671
Q5T0R8,0.042614344,-1.704420525,NA,-1.197378711,0,-0.233703781,-0.623342429,0.307646943,-2.075220128,-1.188080966,NA,0.608454691,0.618550569,NA,1.519233821,1.541647902,0.112860838,-1.346275894
Q8N6N3,-0.326063112,-0.370695054,-0.569611694,-0.207881828,0.011929778,0.019770665,-0.167348476,-0.011929778,-0.583649598,-0.068111347,0.181236994,0.083597488,0.131624388,0.430338453,0.104904749,-0.864378435,0.527327952,0.206773048
Q8TD31-2,-0.117836084,0.276316792,0.006744853,-0.971415876,0.312449073,0.444751406,0.041319766,0.094080203,-0.151058928,-0.128965944,-0.006744853,0.317864186,0.031581645,-1.255385278,-0.296719396,-0.071156505,0.037108279,-0.58407011
A8MU27,0.115389062,0.233134556,-0.44157095,-0.411748864,-0.29046535,0.053336929,-0.090531027,1.18834211,-0.053336929,0.065464809,-0.335020331,0.421355813,-0.448799938,0.682627975,-0.458339948,1.612809341,0.201177656,-0.616158447
H0YLI7,-0.072641114,0.209563748,-0.241395342,0.064732143,0.280882992,0.139546772,0.50749507,-0.125134232,-0.133326757,0.13179815,-0.648968386,-0.47403431,-0.349983802,0.077885921,-0.064732143,0.134840694,-0.684704383,0.176215271
Q9Y5Y0,-0.861573835,0.85377913,0.528272839,0.406842937,0.138854259,0.44334856,0.197674595,0.483921192,-0.392855035,-0.248885447,-0.138854259,0.772889544,-0.598120239,-0.514045685,-0.827238731,-0.445381737,-1.027259988,1.298318487
E9PSH4,0.00096685,0.038239359,0.11112684,-0.008487105,0.382927121,-0.05204204,-0.121213948,0.241428876,-0.040962901,0.428160317,-0.099502295,-0.83432752,-0.00096685,-0.072576268,0.016355076,0.086478229,-0.299044811,0.264123301
E9PPM1,0.427956647,1.087564707,1.513167043,0.252392974,0.695224944,0.096203475,-1.045407444,-0.243824732,-1.106707659,-0.096203475,-0.146610646,0.320768429,-1.092425601,-0.108802371,0.991840429,0.311536745,-1.130682383,-0.678423832
Q9H0H3,0.433471659,0.57426195,0.12226692,0.239514159,0.318809444,0.365733484,0.062251238,-0.392534327,-0.778198907,-0.599644669,-0.062251238,-0.133304086,-0.065889816,0.614050222,-0.687151331,-0.20502256,-0.244702371,0.32547737
P78563-5,0.803013875,-0.280449434,-0.038948149,-0.714198396,0.347523457,-0.342531562,0.038948149,0.418925184,0.174227249,-0.346646946,-0.995580829,0.057072615,-0.261158538,0.569468403,0.086698813,0.421300519,-0.046378953,-0.3017651
